casino,year,total_revenue,growth_rate
"BORGATA HOTEL CASINO & SPA",2022,1293175040,NULL
"HARD ROCK ATLANTIC CITY",2022,570647691,NULL
"OCEAN CASINO RESORT",2022,388805448,NULL
"BORGATA HOTEL CASINO & SPA",2023,1227177752,-5.1
"HARD ROCK ATLANTIC CITY",2023,599854315,5.12
"OCEAN CASINO RESORT",2023,470588854,21.03
"BORGATA HOTEL CASINO & SPA",2024,1313627014,7.04
"HARD ROCK ATLANTIC CITY",2024,698158822,16.39
"OCEAN CASINO RESORT",2024,482630232,2.56
"BORGATA HOTEL CASINO & SPA",2025,1498309312,14.06
"HARD ROCK ATLANTIC CITY",2025,749402505,7.34
"OCEAN CASINO RESORT",2025,532216386,10.27
