year,casino,total_revenue,prev_year_revenue,growth_over_the_years
2022,"BALLY'S ATLANTIC CITY",153901425,NULL,NULL
2023,"BALLY'S ATLANTIC CITY",155177784,153901425,0.83
2024,"BALLY'S ATLANTIC CITY",145392260,155177784,-6.31
2025,"BALLY'S ATLANTIC CITY",133025592,145392260,-8.51
2022,"BORGATA HOTEL CASINO & SPA",724421376,NULL,NULL
2023,"BORGATA HOTEL CASINO & SPA",729668330,724421376,0.72
2024,"BORGATA HOTEL CASINO & SPA",738106921,729668330,1.16
2025,"BORGATA HOTEL CASINO & SPA",800822567,738106921,8.50
2022,"CAESARS ATLANTIC CITY",235314172,NULL,NULL
2023,"CAESARS ATLANTIC CITY",231345344,235314172,-1.69
2024,"CAESARS ATLANTIC CITY",218411324,231345344,-5.59
2025,"CAESARS ATLANTIC CITY",203865143,218411324,-6.66
2022,"GOLDEN NUGGET",148831314,NULL,NULL
2023,"GOLDEN NUGGET",146108980,148831314,-1.83
2024,"GOLDEN NUGGET",147142190,146108980,0.71
2025,"GOLDEN NUGGET",135805000,147142190,-7.70
2022,"HARD ROCK ATLANTIC CITY",492351916,NULL,NULL
2023,"HARD ROCK ATLANTIC CITY",512443908,492351916,4.08
2024,"HARD ROCK ATLANTIC CITY",544933403,512443908,6.34
2025,"HARD ROCK ATLANTIC CITY",550847620,544933403,1.09
2022,"HARRAH'S ATLANTIC CITY",257863780,NULL,NULL
2023,"HARRAH'S ATLANTIC CITY",254086888,257863780,-1.46
2024,"HARRAH'S ATLANTIC CITY",223878829,254086888,-11.89
2025,"HARRAH'S ATLANTIC CITY",225008150,223878829,0.50
2022,"OCEAN CASINO RESORT",356825403,NULL,NULL
2023,"OCEAN CASINO RESORT",414992536,356825403,16.30
2024,"OCEAN CASINO RESORT",409690587,414992536,-1.28
2025,"OCEAN CASINO RESORT",468098655,409690587,14.26
2022,"RESORTS CASINO HOTEL",167338333,NULL,NULL
2023,"RESORTS CASINO HOTEL",163544224,167338333,-2.27
2024,"RESORTS CASINO HOTEL",161879910,163544224,-1.02
2025,"RESORTS CASINO HOTEL",159864834,161879910,-1.24
2022,"TROPICANA CASINO & RESORT",248775991,NULL,NULL
2023,"TROPICANA CASINO & RESORT",240548435,248775991,-3.31
2024,"TROPICANA CASINO & RESORT",228071366,240548435,-5.19
2025,"TROPICANA CASINO & RESORT",216804234,228071366,-4.94
