casino,month,year,table_games_win,slot_win,total_casino_win
BALLY'S ATLANTIC CITY,January,2022,3045482,5738134,8783616
BALLY'S ATLANTIC CITY,February,2022,3115899,7620862,10736761
BALLY'S ATLANTIC CITY,March,2022,5783567,7694689,13478256
BALLY'S ATLANTIC CITY,April,2022,5003408,9415408,14418816
BALLY'S ATLANTIC CITY,May,2022,2351636,10319057,12670693
BALLY'S ATLANTIC CITY,June,2022,3343527,10203953,13547480
BALLY'S ATLANTIC CITY,July,2022,4041541,12778755,16820296
BALLY'S ATLANTIC CITY,August,2022,4327752,11408137,15735889
BALLY'S ATLANTIC CITY,September,2022,5867284,10024871,15892155
BALLY'S ATLANTIC CITY,October,2022,2326016,8502223,10828239
BALLY'S ATLANTIC CITY,November,2022,2204689,7829820,10034509
BALLY'S ATLANTIC CITY,December,2022,3586863,7367852,10954715
BALLY'S ATLANTIC CITY,January,2023,3619716,7924388,11544104
BALLY'S ATLANTIC CITY,February,2023,4452912,7816255,12269167
BALLY'S ATLANTIC CITY,March,2023,1999994,8550255,10550249
BALLY'S ATLANTIC CITY,April,2023,4250361,9543636,13793997
BALLY'S ATLANTIC CITY,May,2023,3766052,9431667,13197719
BALLY'S ATLANTIC CITY,June,2023,2873860,9557711,12431571
BALLY'S ATLANTIC CITY,July,2023,4867788,12335800,17203588
BALLY'S ATLANTIC CITY,August,2023,2726329,12282865,15009194
BALLY'S ATLANTIC CITY,September,2023,2285484,10854728,13140212
BALLY'S ATLANTIC CITY,October,2023,3626883,8809801,12436684
BALLY'S ATLANTIC CITY,November,2023,3827588,8256457,12084045
BALLY'S ATLANTIC CITY,December,2023,2773507,8743747,11517254
BALLY'S ATLANTIC CITY,January,2024,2791254,7279132,10070386
BALLY'S ATLANTIC CITY,February,2024,2274916,8382280,10657196
BALLY'S ATLANTIC CITY,March,2024,2518835,9214455,11733290
BALLY'S ATLANTIC CITY,April,2024,4459706,8660139,13119845
BALLY'S ATLANTIC CITY,May,2024,2443292,9982683,12425975
BALLY'S ATLANTIC CITY,June,2024,3507263,10048135,13555398
BALLY'S ATLANTIC CITY,July,2024,2552027,10752092,13304119
BALLY'S ATLANTIC CITY,August,2024,3118852,12519444,15638296
BALLY'S ATLANTIC CITY,September,2024,2813861,9754267,12568128
BALLY'S ATLANTIC CITY,October,2024,2409884,9062337,11472221
BALLY'S ATLANTIC CITY,November,2024,1849576,8989016,10838592
BALLY'S ATLANTIC CITY,December,2024,1903641,8105173,10008814
BALLY'S ATLANTIC CITY,January,2025,2288429,7380313,9668742
BALLY'S ATLANTIC CITY,February,2025,1876096,7348757,9224853
BALLY'S ATLANTIC CITY,March,2025,3174276,7866789,11041065
BALLY'S ATLANTIC CITY,April,2025,2855707,7417430,10273137
BALLY'S ATLANTIC CITY,May,2025,3489826,8375181,11865007
BALLY'S ATLANTIC CITY,June,2025,3237117,7852529,11089646
BALLY'S ATLANTIC CITY,July,2025,4370113,9749050,14119163
BALLY'S ATLANTIC CITY,August,2025,3453419,10998311,14451730
BALLY'S ATLANTIC CITY,September,2025,2881893,7246040,10127933
BALLY'S ATLANTIC CITY,October,2025,3265721,8068595,11334316
BALLY'S ATLANTIC CITY,November,2025,2681516,7997769,10679285
BALLY'S ATLANTIC CITY,December,2025,2720574,6430141,9150715
BORGATA HOTEL CASINO & SPA,January,2022,13317917,33964993,48396497
BORGATA HOTEL CASINO & SPA,February,2022,12516223,39014326,52840605
BORGATA HOTEL CASINO & SPA,March,2022,13349637,40356671,54967754
BORGATA HOTEL CASINO & SPA,April,2022,16964065,43336023,61603848
BORGATA HOTEL CASINO & SPA,May,2022,17661906,44481993,63368577
BORGATA HOTEL CASINO & SPA,June,2022,10736950,42410161,54253745
BORGATA HOTEL CASINO & SPA,July,2022,21678595,53657028,76729791
BORGATA HOTEL CASINO & SPA,August,2022,20091921,50554696,71971836
BORGATA HOTEL CASINO & SPA,September,2022,14466041,46598396,62335575
BORGATA HOTEL CASINO & SPA,October,2022,14613853,46654340,62453512
BORGATA HOTEL CASINO & SPA,November,2022,14371124,39348832,55010319
BORGATA HOTEL CASINO & SPA,December,2022,18906858,40272630,60489317
BORGATA HOTEL CASINO & SPA,January,2023,14518163,41763985,58372133
BORGATA HOTEL CASINO & SPA,February,2023,14997903,41314395,57475769
BORGATA HOTEL CASINO & SPA,March,2023,17663063,42584686,61502582
BORGATA HOTEL CASINO & SPA,April,2023,13789335,43150764,58104927
BORGATA HOTEL CASINO & SPA,May,2023,12766622,46374900,60516428
BORGATA HOTEL CASINO & SPA,June,2023,13981022,45371943,60526413
BORGATA HOTEL CASINO & SPA,July,2023,20297216,56963460,78550354
BORGATA HOTEL CASINO & SPA,August,2023,20722536,51051733,73031668
BORGATA HOTEL CASINO & SPA,September,2023,15369738,37796232,54278139
BORGATA HOTEL CASINO & SPA,October,2023,15597670,40293565,56883250
BORGATA HOTEL CASINO & SPA,November,2023,11513513,38802485,51671218
BORGATA HOTEL CASINO & SPA,December,2023,12861626,44576725,58755449
BORGATA HOTEL CASINO & SPA,January,2024,18535281,36308288,57643081
BORGATA HOTEL CASINO & SPA,February,2024,13105026,39404877,53609599
BORGATA HOTEL CASINO & SPA,March,2024,13823078,41471475,56519166
BORGATA HOTEL CASINO & SPA,April,2024,15521160,41696159,58386117
BORGATA HOTEL CASINO & SPA,May,2024,14875023,44733440,61394620
BORGATA HOTEL CASINO & SPA,June,2024,18482323,44785595,64296319
BORGATA HOTEL CASINO & SPA,July,2024,19812838,54877361,75972123
BORGATA HOTEL CASINO & SPA,August,2024,19272954,53562497,74191751
BORGATA HOTEL CASINO & SPA,September,2024,17187025,43257853,62395309
BORGATA HOTEL CASINO & SPA,October,2024,10833355,41585301,53409391
BORGATA HOTEL CASINO & SPA,November,2024,13385249,42978968,57561624
BORGATA HOTEL CASINO & SPA,December,2024,18935367,42666896,62727821
BORGATA HOTEL CASINO & SPA,January,2025,17844442,40150627,60365648
BORGATA HOTEL CASINO & SPA,February,2025,11074456,37760771,49890910
BORGATA HOTEL CASINO & SPA,March,2025,12521545,44639334,58368719
BORGATA HOTEL CASINO & SPA,April,2025,13716946,43786020,58550695
BORGATA HOTEL CASINO & SPA,May,2025,20931572,51110442,73130508
BORGATA HOTEL CASINO & SPA,June,2025,27948383,47768527,76741569
BORGATA HOTEL CASINO & SPA,July,2025,22102904,55872134,79927559
BORGATA HOTEL CASINO & SPA,August,2025,18811705,60066473,80246384
BORGATA HOTEL CASINO & SPA,September,2025,15953785,45328699,62756636
BORGATA HOTEL CASINO & SPA,October,2025,17897872,49197529,68484340
BORGATA HOTEL CASINO & SPA,November,2025,23183973,47255228,72069800
BORGATA HOTEL CASINO & SPA,December,2025,16482329,42659568,60289799
CAESARS ATLANTIC CITY,January,2022,6016276,9984334,16000610
CAESARS ATLANTIC CITY,February,2022,5844578,12905121,18749699
CAESARS ATLANTIC CITY,March,2022,6215967,12246903,18462870
CAESARS ATLANTIC CITY,April,2022,4298327,15897900,20196227
CAESARS ATLANTIC CITY,May,2022,6494994,13787279,20282273
CAESARS ATLANTIC CITY,June,2022,5616634,13608881,19225515
CAESARS ATLANTIC CITY,July,2022,8496504,16659718,25156222
CAESARS ATLANTIC CITY,August,2022,5942097,15712437,21654534
CAESARS ATLANTIC CITY,September,2022,7710632,14706106,22416738
CAESARS ATLANTIC CITY,October,2022,4644291,12911316,17555607
CAESARS ATLANTIC CITY,November,2022,5884919,13121323,19006242
CAESARS ATLANTIC CITY,December,2022,4800621,11807014,16607635
CAESARS ATLANTIC CITY,January,2023,5368200,11435662,16803862
CAESARS ATLANTIC CITY,February,2023,6329555,12675092,19004647
CAESARS ATLANTIC CITY,March,2023,4952435,12188564,17140999
CAESARS ATLANTIC CITY,April,2023,5452299,14192898,19645197
CAESARS ATLANTIC CITY,May,2023,5121969,13205554,18327523
CAESARS ATLANTIC CITY,June,2023,5919553,15500634,21420187
CAESARS ATLANTIC CITY,July,2023,7656120,17202422,24858542
CAESARS ATLANTIC CITY,August,2023,3371439,18629847,22001286
CAESARS ATLANTIC CITY,September,2023,6420878,14976456,21397334
CAESARS ATLANTIC CITY,October,2023,1544831,12854172,14399003
CAESARS ATLANTIC CITY,November,2023,4818823,12725241,17544064
CAESARS ATLANTIC CITY,December,2023,5225211,13577489,18802700
CAESARS ATLANTIC CITY,January,2024,5745611,9746908,15492519
CAESARS ATLANTIC CITY,February,2024,4171346,12236786,16408132
CAESARS ATLANTIC CITY,March,2024,5620430,12883065,18503495
CAESARS ATLANTIC CITY,April,2024,4486086,11542282,16028368
CAESARS ATLANTIC CITY,May,2024,4251208,13709178,17960386
CAESARS ATLANTIC CITY,June,2024,4699588,14342388,19041976
