casino,month,year,monthly_total_igaming_win
HARRAH'S ATLANTIC CITY,September,2024,1574804
HARRAH'S ATLANTIC CITY,October,2024,1848249
HARRAH'S ATLANTIC CITY,November,2024,1377376
HARRAH'S ATLANTIC CITY,December,2024,1444650
HARRAH'S ATLANTIC CITY,January,2025,1276401
HARRAH'S ATLANTIC CITY,February,2025,1014876
HARRAH'S ATLANTIC CITY,March,2025,3154697
HARRAH'S ATLANTIC CITY,April,2025,2609553
HARRAH'S ATLANTIC CITY,May,2025,3290845
HARRAH'S ATLANTIC CITY,June,2025,3301279
HARRAH'S ATLANTIC CITY,July,2025,3156402
HARRAH'S ATLANTIC CITY,August,2025,3742245
HARRAH'S ATLANTIC CITY,September,2025,3710177
HARRAH'S ATLANTIC CITY,October,2025,2943193
HARRAH'S ATLANTIC CITY,November,2025,3433838
HARRAH'S ATLANTIC CITY,December,2025,3650626
TROPICANA CASINO & RESORT,September,2024,17281880
TROPICANA CASINO & RESORT,October,2024,18928362
TROPICANA CASINO & RESORT,November,2024,17955923
TROPICANA CASINO & RESORT,December,2024,21285006
TROPICANA CASINO & RESORT,January,2025,19490065
TROPICANA CASINO & RESORT,February,2025,17786790
TROPICANA CASINO & RESORT,March,2025,20451548
TROPICANA CASINO & RESORT,April,2025,20027224
TROPICANA CASINO & RESORT,May,2025,21721858
TROPICANA CASINO & RESORT,June,2025,21456075
TROPICANA CASINO & RESORT,July,2025,22957189
TROPICANA CASINO & RESORT,August,2025,21029737
TROPICANA CASINO & RESORT,September,2025,22507310
TROPICANA CASINO & RESORT,October,2025,21246863
TROPICANA CASINO & RESORT,November,2025,23320517
TROPICANA CASINO & RESORT,December,2025,22046748
BALLY'S ATLANTIC CITY,January,2022,1203793
BALLY'S ATLANTIC CITY,February,2022,1349525
BALLY'S ATLANTIC CITY,March,2022,1799769
BALLY'S ATLANTIC CITY,April,2022,2967824
BALLY'S ATLANTIC CITY,May,2022,3357262
BALLY'S ATLANTIC CITY,June,2022,4076804
BALLY'S ATLANTIC CITY,July,2022,4013463
BALLY'S ATLANTIC CITY,August,2022,4527787
BALLY'S ATLANTIC CITY,June,2023,6631811
BALLY'S ATLANTIC CITY,July,2023,6829889
BALLY'S ATLANTIC CITY,August,2023,8207912
BALLY'S ATLANTIC CITY,September,2023,6979916
BALLY'S ATLANTIC CITY,October,2023,7061175
BALLY'S ATLANTIC CITY,November,2023,7935221
BALLY'S ATLANTIC CITY,December,2023,7868324
BALLY'S ATLANTIC CITY,January,2024,8351053
BALLY'S ATLANTIC CITY,February,2024,8694777
BALLY'S ATLANTIC CITY,March,2024,9365174
BALLY'S ATLANTIC CITY,April,2024,8234420
BALLY'S ATLANTIC CITY,May,2024,8546110
BALLY'S ATLANTIC CITY,June,2024,9215764
BALLY'S ATLANTIC CITY,July,2024,9787433
BALLY'S ATLANTIC CITY,August,2024,9728998
BALLY'S ATLANTIC CITY,September,2024,9281992
BALLY'S ATLANTIC CITY,October,2024,9926229
BALLY'S ATLANTIC CITY,November,2024,9784412
BALLY'S ATLANTIC CITY,December,2024,8949948
BALLY'S ATLANTIC CITY,January,2025,8244703
BALLY'S ATLANTIC CITY,February,2025,10494971
BALLY'S ATLANTIC CITY,March,2025,12304711
BALLY'S ATLANTIC CITY,April,2025,14001812
BALLY'S ATLANTIC CITY,May,2025,13571688
BALLY'S ATLANTIC CITY,June,2025,10550767
BALLY'S ATLANTIC CITY,July,2025,18770184
BALLY'S ATLANTIC CITY,August,2025,15854752
BALLY'S ATLANTIC CITY,September,2025,10726796
BALLY'S ATLANTIC CITY,October,2025,18830265
BALLY'S ATLANTIC CITY,November,2025,14352053
BALLY'S ATLANTIC CITY,December,2025,19083630
BORGATA HOTEL CASINO & SPA,January,2022,39108303
BORGATA HOTEL CASINO & SPA,February,2022,37831314
BORGATA HOTEL CASINO & SPA,March,2022,41362030
BORGATA HOTEL CASINO & SPA,April,2022,39928794
BORGATA HOTEL CASINO & SPA,May,2022,42587342
BORGATA HOTEL CASINO & SPA,June,2022,40542945
BORGATA HOTEL CASINO & SPA,July,2022,42986001
BORGATA HOTEL CASINO & SPA,August,2022,41823848
BORGATA HOTEL CASINO & SPA,September,2022,41119336
BORGATA HOTEL CASINO & SPA,October,2022,40990847
BORGATA HOTEL CASINO & SPA,November,2022,44285571
BORGATA HOTEL CASINO & SPA,December,2022,43706888
BORGATA HOTEL CASINO & SPA,January,2023,40798884
BORGATA HOTEL CASINO & SPA,February,2023,39736855
BORGATA HOTEL CASINO & SPA,March,2023,43912679
BORGATA HOTEL CASINO & SPA,April,2023,43180552
BORGATA HOTEL CASINO & SPA,May,2023,44012713
BORGATA HOTEL CASINO & SPA,June,2023,39419707
BORGATA HOTEL CASINO & SPA,July,2023,42995859
BORGATA HOTEL CASINO & SPA,August,2023,40237610
BORGATA HOTEL CASINO & SPA,September,2023,41579169
BORGATA HOTEL CASINO & SPA,October,2023,35565728
BORGATA HOTEL CASINO & SPA,November,2023,37897517
BORGATA HOTEL CASINO & SPA,December,2023,40558394
BORGATA HOTEL CASINO & SPA,January,2024,42020289
