casino,month,year,monthly_retail_sports_win,monthly_internet_sports_win,total_sports_win
BALLY'S ATLANTIC CITY,January,2022,29197,3,29200
BALLY'S ATLANTIC CITY,February,2022,79991,,79991
BALLY'S ATLANTIC CITY,March,2022,43946,3,43949
BALLY'S ATLANTIC CITY,April,2022,40884,,40884
BALLY'S ATLANTIC CITY,May,2022,806540,29,806569
BALLY'S ATLANTIC CITY,June,2022,32457,8,32465
BALLY'S ATLANTIC CITY,July,2022,49224,570,49794
BALLY'S ATLANTIC CITY,August,2022,72099,,72099
BALLY'S ATLANTIC CITY,September,2022,914149,8667,922816
BALLY'S ATLANTIC CITY,October,2022,176393,153432,329825
BALLY'S ATLANTIC CITY,November,2022,450688,35862,486550
BALLY'S ATLANTIC CITY,December,2022,234549,120605,355154
BALLY'S ATLANTIC CITY,January,2023,21123,263145,284268
BALLY'S ATLANTIC CITY,February,2023,189580,105842,295422
BALLY'S ATLANTIC CITY,March,2023,68141,6591,74732
BALLY'S ATLANTIC CITY,April,2023,70210,158345,228555
BALLY'S ATLANTIC CITY,May,2023,8863,179254,188117
BALLY'S ATLANTIC CITY,June,2023,103745,247621,351366
BALLY'S ATLANTIC CITY,July,2023,59437,36137,95574
BALLY'S ATLANTIC CITY,August,2023,36391,49543,85934
BALLY'S ATLANTIC CITY,September,2023,119240,38088,157328
BALLY'S ATLANTIC CITY,October,2023,171781,89916,261697
BALLY'S ATLANTIC CITY,November,2023,94971,348003,442974
BALLY'S ATLANTIC CITY,December,2023,134428,231988,366416
BALLY'S ATLANTIC CITY,January,2024,87762,581871,669633
BALLY'S ATLANTIC CITY,February,2024,9213,413895,423108
BALLY'S ATLANTIC CITY,March,2024,235,187893,188128
BALLY'S ATLANTIC CITY,April,2024,24343,253155,277498
BALLY'S ATLANTIC CITY,May,2024,4601,43670,48271
BALLY'S ATLANTIC CITY,June,2024,15941,915362,931303
BALLY'S ATLANTIC CITY,July,2024,5537,461877,467414
BALLY'S ATLANTIC CITY,August,2024,140039,3447664,3587703
BALLY'S ATLANTIC CITY,September,2024,14399,329272,343671
BALLY'S ATLANTIC CITY,October,2024,3318,719456,722774
BALLY'S ATLANTIC CITY,November,2024,6274,877432,883706
BALLY'S ATLANTIC CITY,December,2024,1831,637196,639027
BALLY'S ATLANTIC CITY,January,2025,108021,79906,187927
BALLY'S ATLANTIC CITY,February,2025,139186,860088,999274
BALLY'S ATLANTIC CITY,March,2025,2804,706209,709013
BALLY'S ATLANTIC CITY,April,2025,1,3239331,3239332
BALLY'S ATLANTIC CITY,May,2025,929,875984,876913
BALLY'S ATLANTIC CITY,June,2025,16020,12191336,12207356
BALLY'S ATLANTIC CITY,July,2025,2879,179567,182446
BALLY'S ATLANTIC CITY,August,2025,33861,3763620,3797481
BALLY'S ATLANTIC CITY,September,2025,4864,992752,997616
BALLY'S ATLANTIC CITY,October,2025,36248,1794578,1830826
BALLY'S ATLANTIC CITY,November,2025,56524,1264184,1320708
BALLY'S ATLANTIC CITY,December,2025,68872,467176,536048
BORGATA HOTEL CASINO & SPA,January,2023,341450,121317,462767
BORGATA HOTEL CASINO & SPA,February,2023,361313,413720,775033
BORGATA HOTEL CASINO & SPA,March,2023,38973,314018,352991
BORGATA HOTEL CASINO & SPA,April,2023,78370,99791,178161
BORGATA HOTEL CASINO & SPA,May,2023,107555,857596,965151
BORGATA HOTEL CASINO & SPA,June,2023,349240,604439,953679
BORGATA HOTEL CASINO & SPA,July,2023,35087,866760,901847
BORGATA HOTEL CASINO & SPA,August,2023,71454,448762,520216
BORGATA HOTEL CASINO & SPA,September,2023,7100,1036707,1043807
BORGATA HOTEL CASINO & SPA,October,2023,23754,216004,239758
BORGATA HOTEL CASINO & SPA,November,2023,15824,649540,665364
BORGATA HOTEL CASINO & SPA,December,2023,7191,547790,554981
BORGATA HOTEL CASINO & SPA,January,2024,17957,8038655,8056612
BORGATA HOTEL CASINO & SPA,February,2024,6033,432066,438099
BORGATA HOTEL CASINO & SPA,March,2024,44012,113919,157931
BORGATA HOTEL CASINO & SPA,April,2024,232238,5388363,5620601
BORGATA HOTEL CASINO & SPA,May,2024,23568,621463,645031
BORGATA HOTEL CASINO & SPA,June,2024,295246,993407,1288653
BORGATA HOTEL CASINO & SPA,July,2024,71285,37499,108784
BORGATA HOTEL CASINO & SPA,August,2024,220456,5397233,5617689
BORGATA HOTEL CASINO & SPA,September,2024,90344,822621,912965
BORGATA HOTEL CASINO & SPA,October,2024,438904,963708,1402612
BORGATA HOTEL CASINO & SPA,November,2024,345818,370873,716691
BORGATA HOTEL CASINO & SPA,December,2024,163817,768668,932485
BORGATA HOTEL CASINO & SPA,January,2025,54003,393243,447246
BORGATA HOTEL CASINO & SPA,February,2025,407591,129758,537349
BORGATA HOTEL CASINO & SPA,March,2025,308356,590019,898375
BORGATA HOTEL CASINO & SPA,April,2025,533819,779744,1313563
BORGATA HOTEL CASINO & SPA,May,2025,2742,44330,47072
BORGATA HOTEL CASINO & SPA,June,2025,813018,595711,1408729
BORGATA HOTEL CASINO & SPA,July,2025,1703748,823194,2526942
BORGATA HOTEL CASINO & SPA,August,2025,287827,8454271,8742098
